2016-01-31 22:04:11.382 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:11.383 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: setWritingMode: line:0 srcId:undefined
2016-01-31 22:04:11.384 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: getPagePathDetails: line:0 srcId:undefined
2016-01-31 22:04:11.384 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: loadTwoPages: line:0 srcId:undefined
2016-01-31 22:04:11.384 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: disableImageDragging: line:0 srcId:undefined
2016-01-31 22:04:11.397 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:11.482 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:11.484 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: setWritingMode: line:0 srcId:undefined
2016-01-31 22:04:11.484 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: getPagePathDetails: line:0 srcId:undefined
2016-01-31 22:04:11.484 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: loadTwoPages: line:0 srcId:undefined
2016-01-31 22:04:11.484 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: disableImageDragging: line:0 srcId:undefined
2016-01-31 22:04:11.515 [] INFO  KEQWebPage  - JS Console:918: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-0.html
2016-01-31 22:04:11.515 [] INFO  KEQWebPage  - JS Console:915: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-0.html
2016-01-31 22:04:11.538 [] INFO  KEQWebPage  - JS Console:LOG: In Template Loaded Function: line:1573 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.538 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:11.540 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:11.541 [] INFO  KEQWebPage  - JS Console:With Parameters |1| |2| |facing-page-right| |facing-page-left| |1024| |758| |0| |none: line:182 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.541 [] INFO  KEQWebPage  - JS Console:In Get available frame : Page value s- -1: line:324 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.541 [] INFO  KEQWebPage  - JS Console:LOG: Available frame Id : frameLab126-1: line:182 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.542 [] INFO  KEQWebPage  - JS Console:In Get available frame : Page value s- 1: line:324 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.542 [] INFO  KEQWebPage  - JS Console:In Get available frame : Page value s- -1: line:324 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.654 [] INFO  KEQWebPage  - JS Console:frame loaded: frameLab126-1: line:72 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.655 [] INFO  KEQWebPage  - JS Console:dow: null: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.655 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.4096: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.655 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1250|1014|512|758|facing-page-right: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.655 [] INFO  KEQWebPage  - JS Console:top is 418pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.656 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:11.657 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:11.659 [] INFO  KEQWebPage  - JS Console:With Parameters |1| |2| |facing-page-right| |facing-page-left| |1024| |758| |0| |none: line:182 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.660 [] INFO  KEQWebPage  - JS Console:dow: null: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.661 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.4096: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.661 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1250|1014|512|758|facing-page-right: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.661 [] INFO  KEQWebPage  - JS Console:top is 418pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.662 [] INFO  KEQWebPage  - JS Console:frame loaded: frameLab126-2: line:72 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.662 [] INFO  KEQWebPage  - JS Console:dow: null: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.662 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.3657142857142857: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.663 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1400|1007|512|758|facing-page-left: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.663 [] INFO  KEQWebPage  - JS Console:top is 532pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.663 [] INFO  KEQWebPage  - JS Console:In loaded function calling two pages view :: line:72 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.663 [] INFO  KEQWebPage  - JS Console:LOG: show two pages called.: line:293 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.664 [] INFO  KEQWebPage  - JS Console:dow: 1250: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.664 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.4096: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.664 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1250|1014|512|758|facing-page-right: line:385 srcId:qrc:/js/js/manga-template.js
